hwd;pronSampa;ipa
farese;f A r\ eI z i:;fɑɹ?ziː
crier;k r\ aI 3:r;kɹ?ɜ:r
swerve;s w 3:r v;swɜ:rv
kitamura;k i: 4 A m U r\ @;kiːɾɑmʊɹə
hawthorne's;h O: T O: r\ n z;hOːθOːɹnz
wassel;w O: s @ l;wOːsəl
belabores;b i l eI b 3:r z;bil?bɜ:rz
interactions;I n t 3:r { k S @ n z;ɪntɜ:rækʃənz
reuters;r\ OI 4 3:r z;ɹ?ɾɜ:rz
tesoro's;t E s O: r\ @U z;tɛsOːɹoʊz
poisons;p OI z @ n z;p?zənz
commercialized;k @ m 3:r S @ l aI z d;kəmɜ:rʃəl?zd
kravetz;k r\ { v i t s;kɹævits
gated;g eI 4 i d;g?ɾid
applicants';{ p l @ k @ n t s;æpləkənts
exhausting;i g z O: s t i N;igzOːstiŋ
viscuso;v i: s k u s @U;viːskusoʊ
moliere;m @U l j E r\;moʊljɛɹ
reddoch;r\ E 4 @ k;ɹɛɾək
briggstone;b r\ I g s t @U n;bɹɪgstoʊn
garton;g A r\ t @ n;gɑɹtən
akita;@ k i: 4 @;əkiːɾə
fortify;f O: r\ 4 i f aI;fOːɹɾif?
berna;b E r\ n @;bɛɹnə
dating;d eI 4 i N;d?ɾiŋ
gullies;g V l i: z;gʌliːz
dickason;d I k @ s @ n;dɪkəsən
objectivity;A b dZ E k t I v i 4 i:;ɑb?ɛktɪviɾiː
fragmentation;f r\ { g m @ n t eI S @ n;fɹægmənt?ʃən
user;j u z 3:r;juzɜ:r
vardon;v A r\ d O: n;vɑɹdOːn
conners;k A n 3:r z;kɑnɜ:rz
mcclees;m @ k l i: z;məkliːz
ogilvie;A dZ i l v i:;ɑ?ilviː
alvare(2);{ l v A r\;ælvɑɹ
asberry;{ s b E r\ i:;æsbɛɹiː
heifetz;h aI f i t s;h?fits
cafferty;k { f 3:r 4 i:;kæfɜ:rɾiː
constituent;k @ n s t I tS u @ n t;kənstɪ?uənt
victoria;v i k t O: r\ i: @;viktOːɹiːə
ciminero;s i: m i n E r\ @U;siːminɛɹoʊ
gardea;g A r\ 4 i: @;gɑɹɾiːə
