nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;hwd;pronSampa;pronIpa;pronPos
3;aʹbăcus;;;;n.;2.0;19;abacus;abacus;{ b @ k @ s;æbəkəs;noun
3;ābăʹndon;F.;;;v.;5.0;19;abandon;abandon;@ b { n d @ n;əbændən;verb
4;ābăʹndŏned;;;;a.;6.0;19;abandoned;abandoned;@ b { n d @ n d;əbændənd;adjective
2;ăbăʹſh;F.;;;v.;9.0;19;abash;abash;@ b { S;əbæʃ;verb
2;ăbāʹte;F.;;;v.;10.0;19;abate;abate;@ b eI t;əb?t;verb
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;abatement;abatement;@ b eI t m @ n t;əb?tmənt;noun
2;ăʹbbey;;;;n.;13.0;19;abbey;abbey;{ b i:;æbiː;noun
2;ăʹbbŏt;;;;n.;14.0;19;abbot;abbot;{ b @ t;æbət;noun
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;abbreviate;abbreviate;@ b r\ i: v i: eI t;əbɹiːviː?t;verb
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;abbreviation;abbreviation;@ b r\ i: v i: eI S @ n;əbɹiːviː?ʃən;noun
3;ăʹbdicāte;L.;;;v.;17.0;19;abdicate;abdicate;{ b d @ k eI t;æbdək?t;verb
3;ăbdōʹmen;;;;n.;18.0;19;abdomen;abdomen;{ b d @U m @ n;æbdoʊmən;noun
2;ăbĕʹt;;;;v.;19.0;19;abet;abet;@ b E t;əbɛt;verb
3;ăbeʹyănce;F.;;;n.;22.0;19;abeyance;abeyance;@ b eI @ n s;əb?əns;noun
2;ăbhŏʹr;L.;;;v.;23.0;19;abhor;abhor;{ b h O: r\;æbhOːɹ;verb
3;ăbhŏʹrrence;;;;n.;24.0;19;abhorrence;abhorrence;@ b h O: r\ @ n s;əbhOːɹəns;noun
2;ābīʹde;;;;v.;25.0;19;abide;abide;@ b aI d;əb?d;verb
2;ăʹbject;L.;;;a.;26.0;19;abject;abject;{ b dZ E k t;æb?ɛkt;adjective
4;abĭʹlĭty;;;;n.;27.0;19;ability;ability;@ b I l @ 4 i:;əbɪləɾiː;noun
2;ăʹboard;;;;p.;36.0;19;aboard;aboard;@ b O: r\ d;əbOːɹd;pronoun
2;ābōʹde;;;;n.;37.0;19;abode;abode;@ b @U d;əboʊd;noun
3;ăbŏʹlĭſh;L.;;;v.;2.0;20;abolish;abolish;@ b A l i S;əbɑliʃ;verb
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20;abominate;abominate;@ b A m @ n eI t;əbɑmən?t;verb
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20;abomination;abomination;@ b A m @ n eI S @ n;əbɑmən?ʃən;noun
4;ăborīʹgĭnes;L.;;;n.;5.0;20;aborigines;aborigines;{ b 3:r I dZ @ n i: z;æbɜ:rɪ?əniːz;noun
4;ăbŏʹrtion;L.;;;n.;6.0;20;abortion;abortion;@ b O: r\ S @ n;əbOːɹʃən;noun
3;ăbŏʹrtive;;;;a.;7.0;20;abortive;abortive;@ b O: r\ 4 i v;əbOːɹɾiv;adjective
2;abrĭʹdge;F.;;;v.;9.0;20;abridge;abridge;@ b r\ I dZ;əbɹɪ?;verb
2;abroaʹd;;;;a.;11.0;20;abroad;abroad;@ b r\ O: d;əbɹOːd;adjective
3;ăʹbrŏgāte;L.;;;v.;12.0;20;abrogate;abrogate;{ b r\ @ g eI t;æbɹəg?t;verb
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20;abrupt;abrupt;@ b r\ V p t;əbɹʌpt;adjective
2;ăʹbſcĕſs;L.;;;n.;14.0;20;abscess;abscess;{ b s E s;æbsɛs;noun
2;ăʹbſĕnt;L.;;;v.;16.0;20;absent;absent;{ b s @ n t;æbsənt;verb
3;ăbſĕnteeʹ;L.;;;n.;17.0;20;absentee;absentee;{ b s @ n t i:;æbsəntiː;noun
2;ăbſŏʹlve;L.;;;v.;18.0;20;absolve;absolve;@ b z A l v;əbzɑlv;verb
3;ăʹbſŏlūte;L.;;;a.;19.0;20;absolute;absolute;{ b s @ l u t;æbsəlut;adjective
5;ăbſŏlūʹtion;L.;;;n.;20.0;20;absolution;absolution;{ b s @ l u S @ n;æbsəluʃən;noun
2;ăbſŏʹrb;L.;;;v.;21.0;20;absorb;absorb;@ b z O: r\ b;əbzOːɹb;verb
2;ăbſtaiʹn;L.;;;v.;23.0;20;abstain;abstain;@ b s t eI n;əbst?n;verb
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20;abstinence;abstinence;{ b s t @ n @ n s;æbstənəns;noun
2;ăbſtrăʹct;L.;;;v.;27.0;20;abstract;abstract;{ b s t r\ { k t;æbstɹækt;verb
2;ăbſtrūʹſe;L.;;;a.;28.0;20;abstruse;abstruse;@ b s t r\ u s;əbstɹus;adjective
2;ăbſŭʹrd;L.;;;a.;29.0;20;absurd;absurd;@ b s 3:r d;əbsɜ:rd;adjective
3;abŭʹndănce;;;;n.;30.0;20;abundance;abundance;@ b V n d @ n s;əbʌndəns;noun
2;abūʹſe;L.;;;v.;31.0;20;abuse;abuse;@ b j u s;əbjus;verb
2;ăbyʹſs;G.;;;n.;32.0;20;abyss;abyss;@ b I s;əbɪs;noun
4;ăcăʹdĕmy;G.;;;n.;34.0;20;academy;academy;@ k { 4 @ m i:;əkæɾəmiː;noun
2;ăccēʹde;L.;;;v.;36.0;20;accede;accede;{ k s i: d;æksiːd;verb
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20;accelerate;accelerate;{ k s E l 3:r eI t;æksɛlɜ:r?t;verb
2;ăcʹcĕnt;L.;;;n.;38.0;20;accent;accent;@ k s E n t;əksɛnt;noun
2;ăccĕʹpt;L.;;;v.;39.0;20;accept;accept;{ k s E p t;æksɛpt;verb
4;ăccĕʹptable;;;;a.;40.0;20;acceptable;acceptable;{ k s E p t @ b @ l;æksɛptəbəl;adjective
2;ăccĕʹſs;L.;;;n.;42.0;20;access;access;{ k s E s;æksɛs;noun
4;ăccĕʹſſĭble;;;;a.;43.0;20;accessible;accessible;{ k s E s @ b @ l;æksɛsəbəl;adjective
4;ăccĕʹſſion;L.;;;n.;44.0;20;accession;accession;@ k s E S @ n;əksɛʃən;noun
3;ăʹccĭdent;L.;;;n.;46.0;20;accident;accident;{ k s @ d @ n t;æksədənt;noun
4;ăccŏʹmmodāte;L.;;;v.;49.0;20;accommodate;accommodate;@ k A m @ d eI t;əkɑməd?t;verb
4;ăccŏʹmpăny;F.;;;v.;50.0;20;accompany;accompany;@ k V m p @ n i:;əkʌmpəniː;verb
3;ăccŏʹmpliſh;F.;;;v.;51.0;20;accomplish;accomplish;@ k A m p l i S;əkɑmpliʃ;verb
4;ăccŏʹmplĭſhed;;;;a.;52.0;20;accomplished;accomplished;@ k A m p l i S t;əkɑmpliʃt;adjective
3;ăccŏʹmplice;F.;;;n.;53.0;20;accomplice;accomplice;@ k A m p l @ s;əkɑmpləs;noun
2;ăccoʹrd;F.;;;v.;55.0;20;accord;accord;@ k O: r\ d;əkOːɹd;verb
2;ăccŏʹſt;F.;;;v.;56.0;20;accost;accost;@ k O: s t;əkOːst;verb
4;ăccuʹmūlăte;L.;;;v.;63.0;20;accumulate;accumulate;@ k j u m j @ l eI t;əkjumjəl?t;verb
4;ăʹccūracy;L.;;;n.;64.0;20;accuracy;accuracy;{ k j 3:r @ s i:;ækjɜ:rəsiː;noun
3;ăccŭʹrſed;;;;a.;65.0;20;accursed;accursed;@ k 3:r s t;əkɜ:rst;adjective
2;ăccūʹſe;L.;;;v.;66.0;20;accuse;accuse;@ k j u z;əkjuz;verb
5;ăccūſāʹtion;L.;;;n.;67.0;20;accusation;accusation;{ k j @ z eI S @ n;ækjəz?ʃən;noun
4;ăccūʹſātive;;;;n.;68.0;20;accusative;accusative;@ k j u z @ 4 i v;əkjuzəɾiv;noun
3;ăccŭʹſtom;F.;;;v.;69.0;20;accustom;accustom;@ k V s t @ m;əkʌstəm;verb
1;āc_he_;;;;n.;72.0;20;ache;ache;eI k;?k;noun
2;ăʹcid;L.;;;a.;2.0;21;acid;acid;{ s @ d;æsəd;adjective
2;ăʹcids;;;;n.;3.0;21;acids;acids;{ s @ d z;æsədz;noun
4;ăc_k_nŏ_w_lĕdgment;;nbSyll>1 et pas d'accent tonic;;n.;4.0;21;acknowledgment;acknowledgment;{ k n A l i dZ m @ n t;æknɑli?mənt;noun
2;ăʹcorn;;;;n.;6.0;21;acorn;acorn;eI k O: r\ n;?kOːɹn;noun
2;ăcquaiʹnt;F.;;;v.;8.0;21;acquaint;acquaint;@ k w eI n t;əkw?nt;verb
3;ăcquaĭʹntănce;;;;n.;9.0;21;acquaintance;acquaintance;@ k w eI n t @ n s;əkw?ntəns;noun
3;acquĭe˘ʹſ_c__e_;L.;;;v.;10.0;21;acquiesce;acquiesce;{ k w i: E s;ækwiːɛs;verb
2;ăcquīʹre;L.;;;v.;11.0;21;acquire;acquire;@ k w aI 3:r;əkw?ɜ:r;verb
5;ăcquĭſĭʹtion;L.;;;n.;12.0;21;acquisition;acquisition;{ k w @ z I S @ n;ækwəzɪʃən;noun
2;ăcquĭʹt;F.;;;v.;14.0;21;acquit;acquit;@ k w I t;əkwɪt;verb
3;ăcquĭʹttal;F.;;;n.;15.0;21;acquittal;acquittal;@ k w I 4 @ l;əkwɪɾəl;noun
2;āʹcre;;;;n.;17.0;21;acre;acre;eI k 3:r;?kɜ:r;noun
4;ăʹcrĭmony;L.;;;n.;18.0;21;acrimony;acrimony;{ k r\ i m @U n i:;ækɹimoʊniː;noun
1;ăct;L.;;;v.;21.0;21;act;act;{ k t;ækt;verb
3;ăʹction;L.;;;n.;22.0;21;action;action;{ k S @ n;ækʃən;noun
5;ăʹctionable;;;;a.;23.0;21;actionable;actionable;{ k S @ n @ b @ l;ækʃənəbəl;adjective
2;ăʹctĭve;L.;;;a.;24.0;21;active;active;{ k t i v;æktiv;adjective
4;ăctĭʹvĭty;L.;;;n.;25.0;21;activity;activity;{ k t I v @ 4 i:;æktɪvəɾiː;noun
2;ăʹctor;L.;;;n.;26.0;21;actor;actor;{ k t 3:r;æktɜ:r;noun
2;ăʹctrĕſs;;;;n.;27.0;21;actress;actress;{ k t r\ @ s;æktɹəs;noun
3;ăʹctūal;F.;;;a.;28.0;21;actual;actual;{ k tS @ w @ l;æk?əwəl;adjective
4;ăʹctūāry;L.;;;n.;29.0;21;actuary;actuary;{ k tS @ w E r\ i:;æk?əwɛɹiː;noun
3;ăʹctūāte;L.;;;v.;30.0;21;actuate;actuate;{ k tS u w eI t;æk?uw?t;verb
2;acūʹte;L.;;;a.;31.0;21;acute;acute;@ k j u t;əkjut;adjective
2;āʹdāge;L.;;;n.;32.0;21;adage;adage;{ 4 @ dZ;æɾə?;noun
4;adāʹgĭo;;;;a.;33.0;21;adagio;adagio;@ d A Z i: @U;ədɑʒiːoʊ;adjective
3;ăʹdămant;L.;;;n.;34.0;21;adamant;adamant;{ 4 @ m @ n t;æɾəmənt;noun
2;adăʹpt;L.;;;v.;37.0;21;adapt;adapt;@ d { p t;ədæpt;verb
3;adăʹpted;;;;v.;38.0;21;adapted;adapted;@ d { p t @ d;ədæptəd;verb
2;āʹdar;;;;n.;39.0;21;adar;adar;@ d A r\;ədɑɹ;noun
1;ădd;L.;;;v.;40.0;21;add;add;{ d;æd;verb
2;ăʹdder;;;;n.;41.0;21;adder;adder;{ 4 3:r;æɾɜ:r;noun
